year,category,film,name,status,gender,movies.title,movies.year,movies.bt_score,movies.dubious,movies.imdbid,movies.tmdbId,movies.popularity,movies.release_date,movies.revenue,movies.vote_average,movies.vote_count,movies.budget,movies.crew_female_representation,Genre,Production Company,Production Country
1927,WRITING,The Jazz Singer,Alfred Cohn,nominated,male,The Jazz Singer,1927,1,0,18037,939,7.6,06-10-1927,2600000,6.3,143,422000,0,Drama,Warner Bros. Pictures,United States of America
1927,WRITING,The Jazz Singer,Alfred Cohn,nominated,male,The Jazz Singer,1927,1,0,18037,939,7.6,06-10-1927,2600000,6.3,143,422000,0,Music,Warner Bros. Pictures,United States of America
1928,CINEMATOGRAPHY,Our Dancing Daughters,George Barnes,nominated,male,Our Dancing Daughters,1928,2,0,19237,42614,1.43,01-09-1928,1099000,6.7,12,178000,18.18,Drama,Metro-Goldwyn-Mayer,United States of America
1928,CINEMATOGRAPHY,Our Dancing Daughters,George Barnes,nominated,male,Our Dancing Daughters,1928,2,0,19237,42614,1.43,01-09-1928,1099000,6.7,12,178000,18.18,Romance,Metro-Goldwyn-Mayer,United States of America
1928,WRITING,Our Dancing Daughters,Josephine Lovett,nominated,female,Our Dancing Daughters,1928,2,0,19237,42614,1.43,01-09-1928,1099000,6.7,12,178000,18.18,Drama,Metro-Goldwyn-Mayer,United States of America
1928,WRITING,Our Dancing Daughters,Josephine Lovett,nominated,female,Our Dancing Daughters,1928,2,0,19237,42614,1.43,01-09-1928,1099000,6.7,12,178000,18.18,Romance,Metro-Goldwyn-Mayer,United States of America
1934,WRITING,It Happened One Night,Robert Riskin,winner,male,It Happened One Night,1934,3,0,25316,3078,10.43,22-02-1934,4500000,7.9,914,325000,0,Comedy,Columbia Pictures,United States of America
1934,WRITING,It Happened One Night,Robert Riskin,winner,male,It Happened One Night,1934,3,0,25316,3078,10.43,22-02-1934,4500000,7.9,914,325000,0,Romance,Columbia Pictures,United States of America
1934,DIRECTING,It Happened One Night,Frank Capra,winner,male,It Happened One Night,1934,3,0,25316,3078,10.43,22-02-1934,4500000,7.9,914,325000,0,Comedy,Columbia Pictures,United States of America
1934,DIRECTING,It Happened One Night,Frank Capra,winner,male,It Happened One Night,1934,3,0,25316,3078,10.43,22-02-1934,4500000,7.9,914,325000,0,Romance,Columbia Pictures,United States of America
1936,WRITING,Mr. Deeds Goes to Town,Robert Riskin,nominated,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Comedy,Columbia Pictures,United States of America
1936,WRITING,Mr. Deeds Goes to Town,Robert Riskin,nominated,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Drama,Columbia Pictures,United States of America
1936,WRITING,Mr. Deeds Goes to Town,Robert Riskin,nominated,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Romance,Columbia Pictures,United States of America
1936,DIRECTING,Mr. Deeds Goes to Town,Frank Capra,winner,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Comedy,Columbia Pictures,United States of America
1936,DIRECTING,Mr. Deeds Goes to Town,Frank Capra,winner,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Drama,Columbia Pictures,United States of America
1936,DIRECTING,Mr. Deeds Goes to Town,Frank Capra,winner,male,Mr. Deeds Goes to Town,1936,3,0,27996,24807,9.39,09-04-1936,0,7.5,247,0,5.56,Romance,Columbia Pictures,United States of America
1930,CINEMATOGRAPHY,Morocco,Lee Garmes,nominated,male,Morocco,1930,1,0,21156,42641,6.73,14-11-1930,0,6.6,94,0,0,Drama,Paramount,United States of America
1930,CINEMATOGRAPHY,Morocco,Lee Garmes,nominated,male,Morocco,1930,1,0,21156,42641,6.73,14-11-1930,0,6.6,94,0,0,Romance,Paramount,United States of America
1930,DIRECTING,Morocco,Josef Von Sternberg,nominated,male,Morocco,1930,1,0,21156,42641,6.73,14-11-1930,0,6.6,94,0,0,Drama,Paramount,United States of America
1930,DIRECTING,Morocco,Josef Von Sternberg,nominated,male,Morocco,1930,1,0,21156,42641,6.73,14-11-1930,0,6.6,94,0,0,Romance,Paramount,United States of America
1936,FILM EDITING,Theodora Goes Wild,Otto Meyer,nominated,male,Theodora Goes Wild,1936,3,0,28355,52429,1.98,12-11-1936,0,6.5,25,0,8.33,Comedy,Columbia Pictures,United States of America
1936,FILM EDITING,Theodora Goes Wild,Otto Meyer,nominated,male,Theodora Goes Wild,1936,3,0,28355,52429,1.98,12-11-1936,0,6.5,25,0,8.33,Romance,Columbia Pictures,United States of America
1936,FILM EDITING,The Great Ziegfeld,William S. Gray,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Drama,Metro-Goldwyn-Mayer,United States of America
1936,FILM EDITING,The Great Ziegfeld,William S. Gray,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Music,Metro-Goldwyn-Mayer,United States of America
1936,FILM EDITING,The Great Ziegfeld,William S. Gray,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Romance,Metro-Goldwyn-Mayer,United States of America
1936,WRITING,The Great Ziegfeld,William Anthony McGuire,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Drama,Metro-Goldwyn-Mayer,United States of America
1936,WRITING,The Great Ziegfeld,William Anthony McGuire,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Music,Metro-Goldwyn-Mayer,United States of America
1936,WRITING,The Great Ziegfeld,William Anthony McGuire,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Romance,Metro-Goldwyn-Mayer,United States of America
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Drama,Metro-Goldwyn-Mayer,United States of America
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Music,Metro-Goldwyn-Mayer,United States of America
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Romance,Metro-Goldwyn-Mayer,United States of America
1931,DIRECTING,The Champ,King Vidor,nominated,male,The Champ,1931,1,0,21730,42816,3.01,21-11-1931,1600000,7,34,356000,7.14,Drama,Metro-Goldwyn-Mayer,United States of America
1931,WRITING,The Champ,Frances Marion,winner,female,The Champ,1931,1,0,21730,42816,3.01,21-11-1931,1600000,7,34,356000,7.14,Drama,Metro-Goldwyn-Mayer,United States of America
1937,WRITING,Stage Door,Morris Ryskind,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Comedy,RKO Radio Pictures,United States of America
1937,WRITING,Stage Door,Morris Ryskind,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Drama,RKO Radio Pictures,United States of America
