film,category,movies.popularity,movies.vote_count,movies.vote_average,year
The Jazz Singer,WRITING,7.6,143,6.3,1927
Our Dancing Daughters,CINEMATOGRAPHY,1.43,12,6.7,1928
It Happened One Night,WRITING,10.43,914,7.9,1934
Mr. Deeds Goes to Town,WRITING,9.39,247,7.5,1936
Morocco,CINEMATOGRAPHY,6.73,94,6.6,1930
Theodora Goes Wild,FILM EDITING,1.98,25,6.5,1936
The Great Ziegfeld,FILM EDITING,5.7,82,6.2,1936
The Champ,DIRECTING,3.01,34,7,1931
Stage Door,WRITING,5.36,67,7,1937
The Awful Truth,FILM EDITING,6.63,206,7.3,1937
Four Daughters,DIRECTING,2.59,15,6.6,1938
Stagecoach,CINEMATOGRAPHY,11.31,835,7.7,1939
Ninotchka,WRITING,8.26,276,7.6,1939
Love Affair,WRITING,5.34,64,7.3,1939
Rebecca,FILM EDITING,12.09,1301,7.9,1940
The Grapes of Wrath,WRITING,8.93,722,7.8,1940
The Great Dictator,WRITING,15.78,2616,8.4,1940
The Philadelphia Story,WRITING,7.64,663,7.7,1940
Cleopatra,FILM EDITING,4.3,50,6.1,1934
The Devil and Miss Jones,WRITING,3.28,34,7.8,1941
Meet John Doe,WRITING,5.85,171,7.4,1941
How Green Was My Valley,FILM EDITING,7.25,282,7.2,1941
Woman of the Year,WRITING,9.14,102,6.9,1942
Mutiny on the Bounty,WRITING,8.04,233,7.4,1935
Mrs. Miniver,FILM EDITING,8.05,181,7.1,1942
Watch on the Rhine,WRITING,3.47,26,6.8,1943
Shadow of a Doubt,WRITING,9.34,738,7.6,1943
Double Indemnity,WRITING,19.39,1357,8.2,1944
Meet Me in St. Louis,WRITING,8.46,263,7.1,1944
Laura,WRITING,10.12,587,7.7,1944
Cover Girl,CINEMATOGRAPHY,5.28,61,6.4,1944
Since You Went Away,FILM EDITING,2.3,35,6.4,1944
Lifeboat,WRITING,7.04,322,7.4,1944
The Uninvited,CINEMATOGRAPHY,5.34,159,7,1944
Mildred Pierce,WRITING,6.92,286,7.7,1945
Spellbound,CINEMATOGRAPHY,7.34,659,7.5,1945
San Francisco,DIRECTING,4.36,45,7,1936
It's a Wonderful Life,FILM EDITING,33.52,3321,8.3,1946
Fury,WRITING,6.11,148,7.5,1936
The Stranger,WRITING,6.95,442,7.3,1946
Black Narcissus,CINEMATOGRAPHY,7.02,341,7.7,1947
The Ghost and Mrs. Muir,CINEMATOGRAPHY,7.79,220,7.7,1947
Body and Soul,WRITING,5.53,75,6.8,1947
My Man Godfrey,WRITING,6.27,247,7.6,1936
Miracle on 34th Street,WRITING,9.11,528,7.4,1947
The Red Shoes,WRITING,9.81,449,8.1,1948
The Snake Pit,WRITING,4.41,72,7.3,1948
I Remember Mama,CINEMATOGRAPHY,2.82,41,7,1948
Joan of Arc,COSTUME DESIGN,4.58,48,6.4,1948
The Barkleys of Broadway,CINEMATOGRAPHY,3.75,35,7.1,1949
Little Women,CINEMATOGRAPHY,8.24,184,7.5,1949
A Letter to Three Wives,WRITING,5.77,111,7.3,1949
The Heiress,COSTUME DESIGN,10.15,176,7.7,1949
Lost Horizon,FILM EDITING,6.01,148,7.1,1937
The Life of Emile Zola,WRITING,6.49,82,6.6,1937
Born Yesterday,COSTUME DESIGN,6.31,118,7.2,1950
No Way Out,WRITING,4.63,65,6.9,1950
Caged,WRITING,3.88,40,7.1,1950
A Streetcar Named Desire,COSTUME DESIGN,10.97,1055,7.7,1951
Show Boat,CINEMATOGRAPHY,4,56,6.2,1951
Quo Vadis,CINEMATOGRAPHY,19.29,300,7.1,1951
Roman Holiday,BEST PICTURE,13.58,1571,7.9,1953
The Cruel Sea,WRITING,4.04,47,7,1953
The Adventures of Robin Hood,FILM EDITING,11.05,543,7.5,1938
From Here to Eternity,BEST PICTURE,8.08,480,7.3,1953
How to Marry a Millionaire,COSTUME DESIGN,10.73,400,6.9,1953
Angels with Dirty Faces,WRITING,7.8,227,7.7,1938
Seven Brides for Seven Brothers,FILM EDITING,9.36,436,7.3,1954
Rear Window,WRITING,15.29,5157,8.4,1954
Sabrina,WRITING,19.55,988,7.6,1954
Three Coins in the Fountain,CINEMATOGRAPHY,4.94,34,6,1954
To Catch a Thief,COSTUME DESIGN,10.05,1162,7.4,1955
Guys and Dolls,COSTUME DESIGN,7.43,173,6.7,1955
Marty,BEST PICTURE,6.78,268,7.5,1955
Jezebel,CINEMATOGRAPHY,6.36,133,7.2,1938
Oklahoma!,FILM EDITING,10.66,119,6.7,1955
Summertime,DIRECTING,6.05,94,6.9,1955
The Bad Seed,CINEMATOGRAPHY,6.14,185,7.1,1956
War and Peace,DIRECTING,8.78,180,6.6,1956
Of Mice and Men,CINEMATOGRAPHY,3.84,54,7.3,1939
Wuthering Heights,CINEMATOGRAPHY,8.4,194,7.3,1939
High Society,WRITING,6.03,167,7,1956
"Goodbye, Mr. Chips",WRITING,7.2,83,7.5,1939
Funny Face,WRITING,8.99,546,7,1957
Juarez,CINEMATOGRAPHY,3.77,17,6.5,1939
Auntie Mame,FILM EDITING,6.04,77,7.1,1958
Separate Tables,BEST PICTURE,6.58,80,6.8,1958
Mr. Smith Goes to Washington,WRITING,12.42,791,7.9,1939
South Pacific,CINEMATOGRAPHY,6.9,81,6.4,1958
The Inn of the Sixth Happiness,DIRECTING,4.66,57,6.8,1958
Cat on a Hot Tin Roof,WRITING,7.89,584,7.7,1958
Young Mr. Lincoln,WRITING,5.75,115,7.4,1939
I Want to Live!,FILM EDITING,5.07,72,7.1,1958
Ben-Hur,BEST PICTURE,38.36,2095,7.8,1959
The Nun's Story,BEST PICTURE,9.24,121,7.1,1959
The Private Lives of Elizabeth and Essex,CINEMATOGRAPHY,21.36,64,6.3,1939
Some Like It Hot,WRITING,20.28,2727,8.1,1959
Foreign Correspondent,WRITING,6.55,268,7,1940
Pillow Talk,WRITING,7.52,197,7.2,1959
Inherit the Wind,FILM EDITING,7,304,7.8,1960
The Apartment,FILM EDITING,11.38,1710,8.2,1960
Psycho,CINEMATOGRAPHY,33.5,8193,8.4,1960
Exodus,CINEMATOGRAPHY,7.6,135,6.7,1960
Comrade X,WRITING,1.74,14,5.9,1940
The Virgin Spring,COSTUME DESIGN,7.1,448,7.8,1960
