year,film,Genre
1927,The Jazz Singer,Drama
1927,The Jazz Singer,Music
1928,Our Dancing Daughters,Drama
1928,Our Dancing Daughters,Romance
1934,It Happened One Night,Comedy
1934,It Happened One Night,Romance
1936,Mr. Deeds Goes to Town,Comedy
1936,Mr. Deeds Goes to Town,Drama
1936,Mr. Deeds Goes to Town,Romance
1930,Morocco,Drama
1930,Morocco,Romance
1936,Theodora Goes Wild,Comedy
1936,Theodora Goes Wild,Romance
1936,The Great Ziegfeld,Drama
1936,The Great Ziegfeld,Music
1936,The Great Ziegfeld,Romance
1931,The Champ,Drama
1937,Stage Door,Comedy
1937,Stage Door,Drama
1937,The Awful Truth,Comedy
1937,The Awful Truth,Drama
1937,The Awful Truth,Romance
1938,Four Daughters,Drama
1938,Four Daughters,Music
1938,Four Daughters,Romance
1939,Stagecoach,Western
1939,Stagecoach,Adventure
1939,Stagecoach,Action
1939,Ninotchka,Comedy
1939,Ninotchka,Romance
1939,Love Affair,Comedy
1939,Love Affair,Drama
1939,Love Affair,Romance
1940,Rebecca,Mystery
1940,Rebecca,Drama
1940,Rebecca,Thriller
1940,Rebecca,Romance
1940,The Grapes of Wrath,Drama
1940,The Great Dictator,Comedy
1940,The Great Dictator,War
1940,The Philadelphia Story,Comedy
1940,The Philadelphia Story,Romance
1934,Cleopatra,Drama
1934,Cleopatra,Romance
1934,Cleopatra,War
1934,Cleopatra,History
1941,The Devil and Miss Jones,Comedy
1941,The Devil and Miss Jones,Romance
1941,Meet John Doe,Comedy
1941,Meet John Doe,Drama
1941,Meet John Doe,Romance
1941,How Green Was My Valley,Drama
1941,How Green Was My Valley,History
1941,How Green Was My Valley,Family
1942,Woman of the Year,Comedy
1942,Woman of the Year,Drama
1942,Woman of the Year,Romance
1935,Mutiny on the Bounty,Adventure
1935,Mutiny on the Bounty,Drama
1935,Mutiny on the Bounty,History
1942,Mrs. Miniver,Drama
1942,Mrs. Miniver,Romance
1942,Mrs. Miniver,War
1943,Watch on the Rhine,Drama
1943,Watch on the Rhine,Thriller
1943,Shadow of a Doubt,Crime
1943,Shadow of a Doubt,Thriller
1944,Double Indemnity,Crime
1944,Double Indemnity,Drama
1944,Double Indemnity,Mystery
1944,Double Indemnity,Thriller
1944,Meet Me in St. Louis,Comedy
1944,Meet Me in St. Louis,Drama
1944,Meet Me in St. Louis,Romance
1944,Meet Me in St. Louis,Family
1944,Laura,Drama
1944,Laura,Mystery
1944,Cover Girl,Comedy
1944,Cover Girl,Music
1944,Cover Girl,Romance
1944,Since You Went Away,Drama
1944,Since You Went Away,Romance
1944,Since You Went Away,War
1944,Lifeboat,War
1944,Lifeboat,Drama
1944,The Uninvited,Drama
1944,The Uninvited,Fantasy
1944,The Uninvited,Horror
1944,The Uninvited,Mystery
1945,Mildred Pierce,Crime
1945,Mildred Pierce,Drama
1945,Spellbound,Mystery
1945,Spellbound,Thriller
1945,Spellbound,Romance
1936,San Francisco,Drama
1936,San Francisco,Music
1936,San Francisco,Romance
1946,It's a Wonderful Life,Drama
1946,It's a Wonderful Life,Family
1946,It's a Wonderful Life,Fantasy
1936,Fury,Crime
1936,Fury,Drama
1936,Fury,Thriller
1946,The Stranger,Crime
1946,The Stranger,Drama
1946,The Stranger,Mystery
1946,The Stranger,Thriller
1947,Black Narcissus,Drama
1947,The Ghost and Mrs. Muir,Fantasy
1947,The Ghost and Mrs. Muir,Romance
1947,The Ghost and Mrs. Muir,Mystery
1947,Body and Soul,Drama
1936,My Man Godfrey,Comedy
1936,My Man Godfrey,Romance
1936,My Man Godfrey,Drama
1947,Miracle on 34th Street,Comedy
1947,Miracle on 34th Street,Drama
1947,Miracle on 34th Street,Family
1948,The Red Shoes,Drama
1948,The Red Shoes,Romance
1948,The Snake Pit,Drama
1948,The Snake Pit,Mystery
1948,I Remember Mama,Family
1948,I Remember Mama,Drama
1948,Joan of Arc,War
1948,Joan of Arc,Drama
1948,Joan of Arc,History
1949,The Barkleys of Broadway,Comedy
1949,The Barkleys of Broadway,Music
1949,The Barkleys of Broadway,Romance
1949,Little Women,Romance
1949,Little Women,Drama
1949,Little Women,Family
1949,A Letter to Three Wives,Drama
1949,A Letter to Three Wives,Romance
1949,The Heiress,Drama
1949,The Heiress,History
1949,The Heiress,Romance
1937,Lost Horizon,Adventure
1937,Lost Horizon,Fantasy
1937,Lost Horizon,Drama
1937,Lost Horizon,Mystery
1937,The Life of Emile Zola,Drama
1937,The Life of Emile Zola,History
1950,Born Yesterday,Comedy
1950,Born Yesterday,Romance
1950,Born Yesterday,Drama
1950,No Way Out,Crime
1950,No Way Out,Drama
1950,No Way Out,Thriller
1950,Caged,Crime
1950,Caged,Drama
1951,A Streetcar Named Desire,Drama
1951,Show Boat,Romance
1951,Show Boat,Drama
1951,Show Boat,Family
1951,Show Boat,Music
1951,Quo Vadis,Drama
1951,Quo Vadis,History
1951,Quo Vadis,Romance
1953,Roman Holiday,Romance
1953,Roman Holiday,Comedy
1953,Roman Holiday,Drama
1953,The Cruel Sea,Drama
1953,The Cruel Sea,History
1953,The Cruel Sea,War
1938,The Adventures of Robin Hood,Adventure
1938,The Adventures of Robin Hood,Action
1938,The Adventures of Robin Hood,Romance
1953,From Here to Eternity,War
1953,From Here to Eternity,Romance
1953,From Here to Eternity,Drama
1953,How to Marry a Millionaire,Comedy
1953,How to Marry a Millionaire,Romance
1938,Angels with Dirty Faces,Crime
1938,Angels with Dirty Faces,Drama
1938,Angels with Dirty Faces,Thriller
1954,Seven Brides for Seven Brothers,Comedy
1954,Seven Brides for Seven Brothers,Drama
1954,Seven Brides for Seven Brothers,Western
1954,Rear Window,Thriller
1954,Rear Window,Mystery
1954,Sabrina,Comedy
1954,Sabrina,Drama
1954,Sabrina,Romance
1954,Three Coins in the Fountain,Drama
1955,To Catch a Thief,Crime
1955,To Catch a Thief,Drama
1955,To Catch a Thief,Mystery
1955,To Catch a Thief,Romance
1955,To Catch a Thief,Thriller
1955,Guys and Dolls,Comedy
1955,Guys and Dolls,Crime
1955,Guys and Dolls,Romance
1955,Marty,Drama
1955,Marty,Romance
1938,Jezebel,Drama
1938,Jezebel,Romance
1955,Oklahoma!,Western
1955,Oklahoma!,Music
1955,Oklahoma!,Romance
1955,Summertime,Drama
1955,Summertime,Romance
1956,The Bad Seed,Thriller
1956,The Bad Seed,Mystery
1956,The Bad Seed,Horror
1956,The Bad Seed,Drama
1956,War and Peace,Drama
1956,War and Peace,War
1956,War and Peace,Romance
1956,War and Peace,History
1939,Of Mice and Men,Drama
1939,Wuthering Heights,Drama
1939,Wuthering Heights,Romance
1956,High Society,Comedy
1956,High Society,Music
1956,High Society,Romance
1939,"Goodbye, Mr. Chips",Drama
1939,"Goodbye, Mr. Chips",Romance
1957,Funny Face,Music
1957,Funny Face,Comedy
1957,Funny Face,Romance
1939,Juarez,Drama
1939,Juarez,History
1939,Juarez,Romance
1958,Auntie Mame,Comedy
1958,Auntie Mame,Drama
1958,Auntie Mame,Romance
1958,Separate Tables,Drama
1958,Separate Tables,Romance
1939,Mr. Smith Goes to Washington,Comedy
1939,Mr. Smith Goes to Washington,Drama
1958,South Pacific,Music
1958,South Pacific,Romance
1958,South Pacific,War
1958,The Inn of the Sixth Happiness,War
1958,The Inn of the Sixth Happiness,Drama
1958,Cat on a Hot Tin Roof,Drama
1958,Cat on a Hot Tin Roof,Romance
1939,Young Mr. Lincoln,Drama
1939,Young Mr. Lincoln,History
1958,I Want to Live!,Crime
1958,I Want to Live!,Drama
1959,Ben-Hur,Action
1959,Ben-Hur,Drama
1959,Ben-Hur,History
1959,The Nun's Story,Drama
1959,The Nun's Story,War
1939,The Private Lives of Elizabeth and Essex,Drama
1939,The Private Lives of Elizabeth and Essex,History
1939,The Private Lives of Elizabeth and Essex,Romance
1959,Some Like It Hot,Comedy
1959,Some Like It Hot,Music
1959,Some Like It Hot,Romance
1959,Some Like It Hot,Crime
1940,Foreign Correspondent,Action
1940,Foreign Correspondent,Mystery
1940,Foreign Correspondent,Thriller
1940,Foreign Correspondent,War
1959,Pillow Talk,Comedy
1959,Pillow Talk,Romance
1960,Inherit the Wind,Drama
1960,Inherit the Wind,History
1960,The Apartment,Comedy
1960,The Apartment,Drama
1960,The Apartment,Romance
1960,Psycho,Horror
1960,Psycho,Drama
1960,Psycho,Thriller
1960,Exodus,History
1960,Exodus,War
1960,Exodus,Action
1940,Comrade X,Comedy
1940,Comrade X,Romance
1960,The Virgin Spring,Crime
1960,The Virgin Spring,Drama
1960,The Virgin Spring,Thriller
1961,The Children's Hour,Drama
1961,The Children's Hour,Romance
1940,The Letter,Crime
1940,The Letter,Drama
1940,The Letter,Romance
1940,The Letter,Mystery
1961,"One, Two, Three",Comedy
1961,West Side Story,Crime
1961,West Side Story,Drama
1961,West Side Story,Romance
1940,"All This, and Heaven Too",Drama
1940,"All This, and Heaven Too",Romance
1961,Splendor in the Grass,Drama
1961,Splendor in the Grass,Romance
1940,Boom Town,Adventure
1940,Boom Town,Drama
1940,Boom Town,Romance
1940,Boom Town,Western
1961,The Parent Trap,Comedy
1961,The Parent Trap,Family
1962,What Ever Happened to Baby Jane?,Drama
1962,What Ever Happened to Baby Jane?,Horror
1962,What Ever Happened to Baby Jane?,Thriller
1962,Lolita,Crime
1962,Lolita,Drama
1962,Lolita,Romance
1962,To Kill a Mockingbird,Crime
1962,To Kill a Mockingbird,Drama
1962,Gypsy,Comedy
1962,Gypsy,Drama
1962,Gypsy,Music
1962,The Miracle Worker,Drama
1962,Hatari!,Action
1962,Hatari!,Adventure
1962,Hatari!,Comedy
1941,Citizen Kane,Mystery
1941,Citizen Kane,Drama
1963,Tom Jones,Adventure
1963,Tom Jones,Comedy
1963,Tom Jones,Romance
1941,The Lady Eve,Comedy
1941,The Lady Eve,Romance
1963,"It's a Mad, Mad, Mad, Mad World",Action
1963,"It's a Mad, Mad, Mad, Mad World",Adventure
1963,"It's a Mad, Mad, Mad, Mad World",Comedy
1963,"It's a Mad, Mad, Mad, Mad World",Crime
1941,The Little Foxes,Drama
1941,The Little Foxes,Romance
1964,Mary Poppins,Comedy
1964,Mary Poppins,Family
1964,Mary Poppins,Fantasy
1964,My Fair Lady,Romance
1964,My Fair Lady,Drama
1964,My Fair Lady,Music
1941,The Maltese Falcon,Mystery
1941,The Maltese Falcon,Crime
1941,The Maltese Falcon,Thriller
1964,The Unsinkable Molly Brown,Comedy
1965,The Sound of Music,Drama
1965,The Sound of Music,Family
1965,The Sound of Music,Music
1965,The Sound of Music,Romance
1965,Inside Daisy Clover,Drama
1965,Inside Daisy Clover,Music
1965,Inside Daisy Clover,Romance
1965,Darling,Drama
1965,Darling,Romance
1965,A Patch of Blue,Drama
