film,year,movies.budget,movies.revenue,movies.popularity,status
The Jazz Singer,1927,422000,2600000,7.6,nominated
Our Dancing Daughters,1928,178000,1099000,1.43,nominated
It Happened One Night,1934,325000,4500000,10.43,winner
Mr. Deeds Goes to Town,1936,0,0,9.39,nominated
Morocco,1930,0,0,6.73,nominated
Theodora Goes Wild,1936,0,0,1.98,nominated
The Great Ziegfeld,1936,0,0,5.7,nominated
The Champ,1931,356000,1600000,3.01,nominated
Stage Door,1937,952000,1762000,5.36,nominated
The Awful Truth,1937,600000,3000000,6.63,nominated
Four Daughters,1938,0,0,2.59,nominated
Stagecoach,1939,531374,1103757,11.31,nominated
Ninotchka,1939,1365000,2279000,8.26,nominated
Love Affair,1939,0,0,5.34,nominated
Rebecca,1940,1288000,6000000,12.09,nominated
The Grapes of Wrath,1940,800000,1591000,8.93,nominated
The Great Dictator,1940,2000000,11000000,15.78,nominated
The Philadelphia Story,1940,0,0,7.64,winner
Cleopatra,1934,0,0,4.3,nominated
The Devil and Miss Jones,1941,0,0,3.28,nominated
Meet John Doe,1941,0,2000000,5.85,nominated
How Green Was My Valley,1941,1250000,6000000,7.25,nominated
Woman of the Year,1942,3000000,0,9.14,winner
Mutiny on the Bounty,1935,1950000,4460000,8.04,nominated
Mrs. Miniver,1942,1344000,13500000,8.05,nominated
Watch on the Rhine,1943,0,0,3.47,nominated
Shadow of a Doubt,1943,0,0,9.34,nominated
Double Indemnity,1944,927262,2500000,19.39,nominated
Meet Me in St. Louis,1944,1707561,7566000,8.46,nominated
Laura,1944,1020000,2000000,10.12,nominated
Cover Girl,1944,0,0,5.28,nominated
Since You Went Away,1944,0,0,2.3,nominated
Lifeboat,1944,1590000,0,7.04,nominated
The Uninvited,1944,0,0,5.34,nominated
Mildred Pierce,1945,1453000,5638000,6.92,nominated
Spellbound,1945,1500000,7000000,7.34,nominated
San Francisco,1936,1300000,5273000,4.36,nominated
It's a Wonderful Life,1946,3180000,9644124,33.52,nominated
Fury,1936,604000,1300000,6.11,nominated
The Stranger,1946,0,0,6.95,nominated
Black Narcissus,1947,424000,0,7.02,winner
The Ghost and Mrs. Muir,1947,0,0,7.79,nominated
Body and Soul,1947,0,0,5.53,nominated
My Man Godfrey,1936,575375,684200,6.27,nominated
Miracle on 34th Street,1947,630000,2700000,9.11,winner
The Red Shoes,1948,500000,0,9.81,nominated
The Snake Pit,1948,0,0,4.41,nominated
I Remember Mama,1948,0,0,2.82,nominated
Joan of Arc,1948,0,0,4.58,winner
The Barkleys of Broadway,1949,2250000,4421000,3.75,nominated
Little Women,1949,0,0,8.24,nominated
A Letter to Three Wives,1949,0,0,5.77,winner
The Heiress,1949,2600000,2300000,10.15,winner
Lost Horizon,1937,4000000,0,6.01,winner
The Life of Emile Zola,1937,0,0,6.49,nominated
Born Yesterday,1950,0,0,6.31,nominated
No Way Out,1950,0,0,4.63,nominated
Caged,1950,0,0,3.88,nominated
A Streetcar Named Desire,1951,1800000,8000000,10.97,nominated
Show Boat,1951,2300000,11000000,4,nominated
Quo Vadis,1951,7623000,21037000,19.29,nominated
Roman Holiday,1953,1500000,12000000,13.58,nominated
The Cruel Sea,1953,0,0,4.04,nominated
The Adventures of Robin Hood,1938,2033000,3981000,11.05,winner
From Here to Eternity,1953,1650000,30500000,8.08,winner
