year,film,Production Company
1927,The Jazz Singer,Warner Bros. Pictures
1928,Our Dancing Daughters,Metro-Goldwyn-Mayer
1934,It Happened One Night,Columbia Pictures
1936,Mr. Deeds Goes to Town,Columbia Pictures
1930,Morocco,Paramount
1936,Theodora Goes Wild,Columbia Pictures
1936,The Great Ziegfeld,Metro-Goldwyn-Mayer
1931,The Champ,Metro-Goldwyn-Mayer
1937,Stage Door,RKO Radio Pictures
1937,The Awful Truth,Columbia Pictures
1938,Four Daughters,Warner Bros. Pictures
1939,Stagecoach,Walter Wanger Productions
1939,Stagecoach,United Artists
1939,Ninotchka,Metro-Goldwyn-Mayer
1939,Love Affair,RKO Radio Pictures
1940,Rebecca,Selznick International Pictures
1940,Rebecca,United Artists
1940,The Grapes of Wrath,20th Century Fox
1940,The Great Dictator,Roy Export Company Establishment
1940,The Great Dictator,United Artists
1940,The Philadelphia Story,Metro-Goldwyn-Mayer
1934,Cleopatra,Paramount
1941,The Devil and Miss Jones,Frank Ross-Norma Krasna Inc.
1941,Meet John Doe,Frank Capra Productions
1941,Meet John Doe,Warner Bros. Pictures
1941,How Green Was My Valley,20th Century Fox
1942,Woman of the Year,Metro-Goldwyn-Mayer
1935,Mutiny on the Bounty,Metro-Goldwyn-Mayer
1942,Mrs. Miniver,Metro-Goldwyn-Mayer
1943,Watch on the Rhine,Warner Bros. Pictures
1943,Shadow of a Doubt,Universal Pictures
1943,Shadow of a Doubt,Skirball Productions
1944,Double Indemnity,Paramount
1944,Meet Me in St. Louis,Metro-Goldwyn-Mayer
1944,Meet Me in St. Louis,"""Loews Incorporated"""
1944,Laura,20th Century Fox
1944,Cover Girl,Columbia Pictures
1944,Since You Went Away,Vanguard Films
1944,Since You Went Away,Selznick International Pictures
1944,Lifeboat,20th Century Fox
1944,The Uninvited,Paramount
1945,Mildred Pierce,Warner Bros. Pictures
1945,Spellbound,Selznick International Pictures
1945,Spellbound,United Artists
1936,San Francisco,Metro-Goldwyn-Mayer
1946,It's a Wonderful Life,Liberty Films
1946,It's a Wonderful Life,RKO Radio Pictures
1936,Fury,Metro-Goldwyn-Mayer
1946,The Stranger,International Pictures
1946,The Stranger,RKO Radio Pictures
1947,Black Narcissus,The Archers
1947,Black Narcissus,J. Arthur Rank Organisation
1947,The Ghost and Mrs. Muir,20th Century Fox
1947,Body and Soul,Enterprise Productions
1947,Body and Soul,United Artists
1936,My Man Godfrey,Universal Pictures
1947,Miracle on 34th Street,20th Century Fox
1948,The Red Shoes,Independent Producers
1948,The Red Shoes,The Archers
1948,The Snake Pit,20th Century Fox
1948,I Remember Mama,RKO Radio Pictures
1948,Joan of Arc,Walter Wanger Productions
1948,Joan of Arc,RKO Radio Pictures
1949,The Barkleys of Broadway,Metro-Goldwyn-Mayer
1949,Little Women,Metro-Goldwyn-Mayer
1949,A Letter to Three Wives,20th Century Fox
1949,The Heiress,Paramount
1937,Lost Horizon,Columbia Pictures
1937,The Life of Emile Zola,Warner Bros. Pictures
1950,Born Yesterday,Columbia Pictures
1950,No Way Out,20th Century Fox
1950,Caged,Warner Bros. Pictures
1951,A Streetcar Named Desire,Charles K. Feldman Group
1951,A Streetcar Named Desire,Warner Bros. Pictures
1951,Show Boat,Metro-Goldwyn-Mayer
1951,Quo Vadis,Metro-Goldwyn-Mayer
1953,Roman Holiday,Paramount
1953,The Cruel Sea,Ealing Studios
1953,The Cruel Sea,Michael Balcon Productions
1938,The Adventures of Robin Hood,Warner Bros. Pictures
1953,From Here to Eternity,Columbia Pictures
1953,How to Marry a Millionaire,20th Century Fox
1938,Angels with Dirty Faces,Warner Bros. Pictures
1954,Seven Brides for Seven Brothers,Metro-Goldwyn-Mayer
1954,Seven Brides for Seven Brothers,"""Loews Incorporated"""
1954,Rear Window,Alfred J. Hitchcock Productions
1954,Rear Window,Paramount
1954,Sabrina,Paramount
1954,Three Coins in the Fountain,20th Century Fox
1955,To Catch a Thief,Paramount
1955,Guys and Dolls,Samuel Goldwyn Productions
1955,Marty,United Artists
1955,Marty,Hecht-Lancaster Productions
1938,Jezebel,Warner Bros. Pictures
1955,Oklahoma!,RKO Radio Pictures
1955,Oklahoma!,Magna Corporation
1955,Summertime,London Films Productions
1955,Summertime,United Artists
1956,The Bad Seed,Warner Bros. Pictures
1956,War and Peace,Paramount
1956,War and Peace,Ponti-De Laurentiis Cinematografica
1939,Of Mice and Men,United Artists
1939,Of Mice and Men,Hal Roach Studios
1939,Wuthering Heights,Samuel Goldwyn Productions
1939,Wuthering Heights,United Artists
1956,High Society,Sol C. Siegel Productions
1956,High Society,Bing Crosby Productions
1939,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer British Studios
1957,Funny Face,Paramount
1939,Juarez,Warner Bros. Pictures
1958,Auntie Mame,Warner Bros. Pictures
1958,Separate Tables,Norlan Productions
1958,Separate Tables,Hecht-Hill-Lancaster Productions
1939,Mr. Smith Goes to Washington,Columbia Pictures
1958,South Pacific,Magna Theatre Corporation
1958,South Pacific,South Pacific Enterprises
1958,The Inn of the Sixth Happiness,20th Century Fox
1958,Cat on a Hot Tin Roof,Avon Productions
1958,Cat on a Hot Tin Roof,Metro-Goldwyn-Mayer
1939,Young Mr. Lincoln,20th Century Fox
1939,Young Mr. Lincoln,Cosmopolitan Productions
1958,I Want to Live!,United Artists
1958,I Want to Live!,Figaro
1959,Ben-Hur,Metro-Goldwyn-Mayer
1959,The Nun's Story,Warner Bros. Pictures
1939,The Private Lives of Elizabeth and Essex,Warner Bros. Pictures
1959,Some Like It Hot,The Mirisch Company
1959,Some Like It Hot,Ashton Productions
1940,Foreign Correspondent,Walter Wanger Productions
1940,Foreign Correspondent,United Artists
1959,Pillow Talk,Arwin Productions
1960,Inherit the Wind,Stanley Kramer Productions
1960,Inherit the Wind,United Artists
1960,The Apartment,The Mirisch Company
1960,Psycho,Shamley Productions
1960,Exodus,Carlyle Productions
1960,Exodus,United Artists
1940,Comrade X,Metro-Goldwyn-Mayer
