film,year,Production Country
The Jazz Singer,1927,United States of America
Our Dancing Daughters,1928,United States of America
It Happened One Night,1934,United States of America
Mr. Deeds Goes to Town,1936,United States of America
Morocco,1930,United States of America
Theodora Goes Wild,1936,United States of America
The Great Ziegfeld,1936,United States of America
The Champ,1931,United States of America
Stage Door,1937,United States of America
The Awful Truth,1937,United States of America
Four Daughters,1938,United States of America
Stagecoach,1939,United States of America
Ninotchka,1939,United States of America
Love Affair,1939,United States of America
Rebecca,1940,United States of America
The Grapes of Wrath,1940,United States of America
The Great Dictator,1940,United States of America
The Philadelphia Story,1940,United States of America
Cleopatra,1934,United States of America
The Devil and Miss Jones,1941,United States of America
Meet John Doe,1941,United States of America
How Green Was My Valley,1941,United States of America
Woman of the Year,1942,United States of America
Mutiny on the Bounty,1935,United States of America
Mrs. Miniver,1942,United States of America
Watch on the Rhine,1943,United States of America
Shadow of a Doubt,1943,United States of America
Double Indemnity,1944,United States of America
Meet Me in St. Louis,1944,United States of America
Laura,1944,United States of America
Cover Girl,1944,United States of America
Since You Went Away,1944,United States of America
Lifeboat,1944,United States of America
The Uninvited,1944,United States of America
Mildred Pierce,1945,United States of America
Spellbound,1945,United States of America
San Francisco,1936,United States of America
It's a Wonderful Life,1946,United States of America
Fury,1936,United States of America
The Stranger,1946,United States of America
Black Narcissus,1947,United Kingdom
The Ghost and Mrs. Muir,1947,United States of America
Body and Soul,1947,United States of America
My Man Godfrey,1936,United States of America
Miracle on 34th Street,1947,United States of America
The Red Shoes,1948,United Kingdom
The Snake Pit,1948,United States of America
I Remember Mama,1948,United States of America
Joan of Arc,1948,United States of America
The Barkleys of Broadway,1949,United States of America
Little Women,1949,United States of America
A Letter to Three Wives,1949,United States of America
The Heiress,1949,United States of America
Lost Horizon,1937,United States of America
The Life of Emile Zola,1937,United States of America
Born Yesterday,1950,United States of America
No Way Out,1950,United States of America
Caged,1950,United States of America
A Streetcar Named Desire,1951,United States of America
Show Boat,1951,United States of America
Quo Vadis,1951,United States of America
Roman Holiday,1953,United States of America
The Cruel Sea,1953,United Kingdom
The Adventures of Robin Hood,1938,United States of America
From Here to Eternity,1953,United States of America
How to Marry a Millionaire,1953,United States of America
Angels with Dirty Faces,1938,United States of America
Seven Brides for Seven Brothers,1954,United States of America
Rear Window,1954,United States of America
Sabrina,1954,United States of America
Three Coins in the Fountain,1954,United States of America
To Catch a Thief,1955,United States of America
Guys and Dolls,1955,United States of America
Marty,1955,United States of America
Jezebel,1938,United States of America
Oklahoma!,1955,United States of America
Summertime,1955,United Kingdom
Summertime,1955,United States of America
The Bad Seed,1956,United States of America
War and Peace,1956,Italy
War and Peace,1956,United States of America
Of Mice and Men,1939,United States of America
Wuthering Heights,1939,United States of America
High Society,1956,United States of America
"Goodbye, Mr. Chips",1939,United Kingdom
Funny Face,1957,United States of America
Juarez,1939,United States of America
Auntie Mame,1958,United States of America
Separate Tables,1958,United States of America
Mr. Smith Goes to Washington,1939,United States of America
South Pacific,1958,United States of America
The Inn of the Sixth Happiness,1958,United Kingdom
The Inn of the Sixth Happiness,1958,United States of America
Cat on a Hot Tin Roof,1958,United States of America
Young Mr. Lincoln,1939,United States of America
I Want to Live!,1958,United States of America
Ben-Hur,1959,United States of America
The Nun's Story,1959,United States of America
The Private Lives of Elizabeth and Essex,1939,United States of America
Some Like It Hot,1959,United States of America
Foreign Correspondent,1940,United Kingdom
Foreign Correspondent,1940,United States of America
Pillow Talk,1959,United States of America
Inherit the Wind,1960,United States of America
The Apartment,1960,United States of America
Psycho,1960,United States of America
Exodus,1960,Israel
Exodus,1960,United States of America
Comrade X,1940,United States of America
The Virgin Spring,1960,Sweden
The Children's Hour,1961,United States of America
The Letter,1940,United States of America
"One, Two, Three",1961,United States of America
West Side Story,1961,United States of America
"All This, and Heaven Too",1940,United States of America
Splendor in the Grass,1961,United States of America
Boom Town,1940,United States of America
The Parent Trap,1961,United States of America
What Ever Happened to Baby Jane?,1962,United States of America
Lolita,1962,United Kingdom
Lolita,1962,United States of America
To Kill a Mockingbird,1962,United States of America
Gypsy,1962,United States of America
The Miracle Worker,1962,United States of America
Hatari!,1962,United States of America
Citizen Kane,1941,United States of America
Tom Jones,1963,United Kingdom
The Lady Eve,1941,United States of America
"It's a Mad, Mad, Mad, Mad World",1963,United States of America
Cleopatra,1963,United Kingdom
The Little Foxes,1941,United States of America
Mary Poppins,1964,United States of America
My Fair Lady,1964,United States of America
The Maltese Falcon,1941,United States of America
The Unsinkable Molly Brown,1964,United States of America
The Sound of Music,1965,United States of America
Inside Daisy Clover,1965,United States of America
Darling,1965,United Kingdom
A Patch of Blue,1965,United States of America
Georgy Girl,1966,United Kingdom
Bonnie and Clyde,1967,United States of America
Thoroughly Modern Millie,1967,United States of America
Two for the Road,1967,United Kingdom
Guess Who's Coming to Dinner,1967,United States of America
Rosemary's Baby,1968,United States of America
Romeo and Juliet,1968,Italy
Romeo and Juliet,1968,United Kingdom
Star!,1968,United States of America
The Lion in Winter,1968,United Kingdom
Funny Girl,1968,United States of America
The Magnificent Ambersons,1942,United States of America
"Hello, Dolly!",1969,United States of America
Five Easy Pieces,1970,United States of America
Airport,1970,United States of America
Darling Lili,1970,United States of America
Bedknobs and Broomsticks,1971,United States of America
"Mary, Queen of Scots",1971,United Kingdom
The More the Merrier,1943,United States of America
Klute,1971,United States of America
Nicholas and Alexandra,1971,United Kingdom
The Andromeda Strain,1971,United States of America
Travels with My Aunt,1972,United States of America
Butterflies Are Free,1972,United States of America
Cabaret,1972,United States of America
The Discreet Charm of the Bourgeoisie,1972,France
The Discreet Charm of the Bourgeoisie,1972,Italy
Lady Sings the Blues,1972,United States of America
The Exorcist,1973,United States of America
Paper Moon,1973,United States of America
Alice Doesn't Live Here Anymore,1974,United States of America
Jaws,1975,United States of America
Hail the Conquering Hero,1944,United States of America
Dog Day Afternoon,1975,United States of America
Nashville,1975,United States of America
Network,1976,United States of America
The Turning Point,1977,United States of America
Julia,1977,United States of America
Annie Hall,1977,United States of America
The Goodbye Girl,1977,United States of America
A Little Night Music,1977,Austria
A Little Night Music,1977,Germany
Autumn Sonata,1978,France
Autumn Sonata,1978,Germany
Interiors,1978,United States of America
Death on the Nile,1978,United Kingdom
The Wiz,1978,United States of America
The China Syndrome,1979,United States of America
The Lost Weekend,1945,United States of America
Norma Rae,1979,United States of America
Private Benjamin,1980,United States of America
Coal Miner's Daughter,1980,United States of America
Reds,1981,United States of America
The Jolson Story,1946,United States of America
Absence of Malice,1981,United States of America
The Best Years of Our Lives,1946,United States of America
Sophie's Choice,1982,United Kingdom
Sophie's Choice,1982,United States of America
Notorious,1946,United States of America
An Officer and a Gentleman,1982,United States of America
Missing,1982,Mexico
Missing,1982,United States of America
Victor/Victoria,1982,United Kingdom
Victor/Victoria,1982,United States of America
Silkwood,1983,United States of America
Educating Rita,1983,United Kingdom
Gentleman's Agreement,1947,United States of America
Flashdance,1983,United States of America
Crossfire,1947,United States of America
The Bostonians,1984,United Kingdom
The Bostonians,1984,United States of America
Amadeus,1984,United States of America
Odd Man Out,1947,United Kingdom
A Passage to India,1984,United Kingdom
A Passage to India,1984,United States of America
Romancing the Stone,1984,Mexico
Romancing the Stone,1984,United States of America
Brazil,1985,United Kingdom
Brazil,1985,United States of America
The Color Purple,1985,United States of America
The Trip to Bountiful,1985,United States of America
A Chorus Line,1985,United States of America
The Official Story,1985,Argentina
The Purple Rose of Cairo,1985,United States of America
Hamlet,1948,United Kingdom
Witness,1985,United States of America
Out of Africa,1985,United States of America
Hannah and Her Sisters,1986,United States of America
Peggy Sue Got Married,1986,United States of America
Star Trek IV: The Voyage Home,1986,United States of America
Children of a Lesser God,1986,United States of America
All the King's Men,1949,United States of America
Moonstruck,1987,United States of America
The Last Emperor,1987,China
The Last Emperor,1987,France
Fatal Attraction,1987,United States of America
Broadcast News,1987,United States of America
Hope and Glory,1987,United Kingdom
Hope and Glory,1987,United States of America
Die Hard,1988,United States of America
Working Girl,1988,United States of America
Dangerous Liaisons,1988,United Kingdom
Dangerous Liaisons,1988,United States of America
A Fish Called Wanda,1988,United Kingdom
A Fish Called Wanda,1988,United States of America
